sku,name,category_slug,product_url,image_url,image_filename,row_id,cluster_id,pca_x,pca_y,surface_type,material_group,cluster_size
100609890,Onda Black Matte Ceramic Tile,/tile,https://www.flooranddecor.com/dimensional-tile/onda-black-matte-ceramic-tile-100609890.html,https://i8.amplience.net/i/flooranddecor/100609890_onda-black-matte-ceramic-tile_display?fmt=auto&qlt=85,100609890.jpg,,37,,,,other,20
100978238,Zellige Verde Glossy Ceramic Tile,/tile,https://www.flooranddecor.com/porcelain-ceramic-decoratives/zellige-verde-glossy-ceramic-tile-100978238.html,https://i8.amplience.net/i/flooranddecor/100978238_zellige-verde-glossy-ceramic-tile_display?fmt=auto&qlt=85,100978238.jpg,,3,,,,other,24
101134914,Costa Bella Nero III Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/costa-bella-nero-iii-porcelain-tile-101134914.html,https://i8.amplience.net/i/flooranddecor/101134914_costa-bella-nero-iii-porcelain-tile_display?fmt=auto&qlt=85,101134914.jpg,,17,,,,other,42
100898998,Snow Herringbone Glass Mosaic,/tile,https://www.flooranddecor.com/glass-decoratives/snow-herringbone-glass-mosaic-100898998.html,https://i8.amplience.net/i/flooranddecor/100898998_snow-herringbone-glass-mosaic_display?fmt=auto&qlt=85,100898998.jpg,,37,,,,other,20
101070571,Playa Quartz Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/playa-quartz-porcelain-tile-101070571.html,https://i8.amplience.net/i/flooranddecor/101070571_playa-quartz-porcelain-tile_display?fmt=auto&qlt=85,101070571.jpg,,4,,,,other,42
101141273,Everest White Polished Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/everest-white-polished-porcelain-tile-101141273.html,https://i8.amplience.net/i/flooranddecor/101141273_everest-white-polished-porcelain-tile_display?fmt=auto&qlt=85,101141273.jpg,,19,,,,other,19
101068104,Gunstock Oak Waterproof Rigid Core Luxury Vinyl Plank - Cork Pad,/tile,https://www.flooranddecor.com/nucore-flooring/gunstock-oak-waterproof-rigid-core-luxury-vinyl-plank---cork-pad-101068104.html,https://i8.amplience.net/i/flooranddecor/101068104_gunstock-oak-waterproof-rigid-core-luxury-vinyl-plank---cork-pad_display?fmt=auto&qlt=85,101068104.jpg,,27,,,,other,77
101238178,Mount Royal Amber Wood Look Matte Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/mount-royal-amber-wood-look-matte-porcelain-tile-101238178.html,https://i8.amplience.net/i/flooranddecor/101238178_mount-royal-amber-wood-look-matte-porcelain-tile_display?fmt=auto&qlt=85,101238178.jpg,,0,,,,other,47
101142974,Sand Dune Polished Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/sand-dune-polished-porcelain-tile-101142974.html,https://i8.amplience.net/i/flooranddecor/101142974_sand-dune-polished-porcelain-tile_display?fmt=auto&qlt=85,101142974.jpg,,32,,,,other,65
100783091,Ashford Woodville White Hexagon Porcelain Mosaic,/tile,https://www.flooranddecor.com/porcelain-tile/ashford-woodville-white-hexagon-porcelain-mosaic-100783091.html,https://i8.amplience.net/i/flooranddecor/100783091_ashford-woodville-white-hexagon-porcelain-mosaic_display?fmt=auto&qlt=85,100783091.jpg,,14,,,,other,47
100824275,Caledonia Gold Polished Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/caledonia-gold-polished-porcelain-tile-100824275.html,https://i8.amplience.net/i/flooranddecor/100824275_caledonia-gold-polished-porcelain-tile_display?fmt=auto&qlt=85,100824275.jpg,,38,,,,other,64
101065431,Wynn Cielo Greige Wall Tile,/tile,https://www.flooranddecor.com/dimensional-tile/wynn-cielo-greige-wall-tile-101065431.html,https://i8.amplience.net/i/flooranddecor/101065431_wynn-cielo-greige-wall-tile_display?fmt=auto&qlt=85,101065431.jpg,,22,,,,other,58
100378140,Paros Honed Travertine Tile,/tile,https://www.flooranddecor.com/travertine-stone/paros-honed-travertine-tile-100378140.html,https://i8.amplience.net/i/flooranddecor/100378140_paros-honed-travertine-tile_display?fmt=auto&qlt=85,100378140.jpg,,34,,,,other,37
100969187,Vita Bella Hexagon Porcelain Mosaic,/tile,https://www.flooranddecor.com/porcelain-tile/vita-bella-hexagon-porcelain-mosaic-100969187.html,https://i8.amplience.net/i/flooranddecor/100969187_UGC,100969187.jpg,,13,,,,other,49
100208131,Chocolate Nickel Decorative Pencil,/tile,https://www.flooranddecor.com/metallic-decoratives/chocolate-nickel-decorative-pencil-100208131.html,https://i8.amplience.net/i/flooranddecor/100208131_chocolate-nickel-decorative-pencil_1?fmt=auto&qlt=85,100208131.jpg,,20,,,,other,33
100964261,Vetrino White Porcelain Tile,/tile,https://www.flooranddecor.com/available-in-store-only/vetrino-white-porcelain-tile-100964261.html,https://i8.amplience.net/i/flooranddecor/100964261_vetrino-white-porcelain-tile_display?fmt=auto&qlt=85,100964261.jpg,,10,,,,other,60
101068831,Emporio Black Marble Look Porcelain Hexagon Tile,/tile,https://www.flooranddecor.com/porcelain-tile/emporio-black-marble-look-porcelain-hexagon-tile-101068831.html,https://i8.amplience.net/i/flooranddecor/101068831_emporio-black-marble-look-porcelain-hexagon-tile_display?fmt=auto&qlt=85,101068831.jpg,,6,,,,other,37
100941533,Concept Gray Matte Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/concept-gray-matte-porcelain-tile-100941533.html,https://i8.amplience.net/i/flooranddecor/100941533_concept-gray-matte-porcelain-tile_display?fmt=auto&qlt=85,100941533.jpg,,32,,,,other,65
100604743,Vittorio Bianco Polished Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/vittorio-bianco-polished-porcelain-tile-100604743.html,https://i8.amplience.net/i/flooranddecor/100604743_vittorio-bianco-polished-porcelain-tile_display?fmt=auto&qlt=85,100604743.jpg,,4,,,,other,42
101317733,Luxe Sand Matte Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/luxe-sand-matte-porcelain-tile-101317733.html,https://i8.amplience.net/i/flooranddecor/101317733_luxe-sand-matte-porcelain-tile_display?fmt=auto&qlt=85,101317733.jpg,,30,,,,other,40
100958487,Madox Gris Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/madox-gris-porcelain-tile-100958487.html,https://i8.amplience.net/i/flooranddecor/100958487_madox-gris-porcelain-tile_display?fmt=auto&qlt=85,100958487.jpg,,39,,,,other,28
101070514,Sahara Charcoal Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/sahara-charcoal-porcelain-tile-101070514.html,https://i8.amplience.net/i/flooranddecor/101070514_sahara-charcoal-porcelain-tile_display?fmt=auto&qlt=85,101070514.jpg,,31,,,,other,46
101076784,Solara Onyx Polished Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/solara-onyx-polished-porcelain-tile-101076784.html,https://i8.amplience.net/i/flooranddecor/101076784_solara-onyx-polished-porcelain-tile_display?fmt=auto&qlt=85,101076784.jpg,,38,,,,other,64
101075414,Hazel Art Glass Flower Mosaic,/tile,https://www.flooranddecor.com/glass-decoratives/hazel-art-glass-flower-mosaic-101075414.html,https://i8.amplience.net/i/flooranddecor/101075414_hazel-art-glass-flower-mosaic_display?fmt=auto&qlt=85,101075414.jpg,,2,,,,other,39
100711001,Kavala White Matte Porcelain Tile,/tile,https://www.flooranddecor.com/available-in-store-only/kavala-white-matte-porcelain-tile-100711001.html,https://i8.amplience.net/i/flooranddecor/100711001_kavala-white-matte-porcelain-tile_display?fmt=auto&qlt=85,100711001.jpg,,6,,,,other,37
101135200,Alpine Summit Waterproof Rigid Core Luxury Vinyl Plank,/tile,https://www.flooranddecor.com/duralux-performance-flooring/alpine-summit-waterproof-rigid-core-luxury-vinyl-plank-101135200.html,https://i8.amplience.net/i/flooranddecor/101135200_alpine-summit-waterproof-rigid-core-luxury-vinyl-plank_display?fmt=auto&qlt=85,101135200.jpg,,0,,,,other,47
101068435,Raven Matte III Ceramic Tile,/tile,https://www.flooranddecor.com/porcelain-ceramic-decoratives/raven-matte-iii-ceramic-tile-101068435.html,https://i8.amplience.net/i/flooranddecor/101068435_raven-matte-iii-ceramic-tile_display?fmt=auto&qlt=85,101068435.jpg,,3,,,,other,24
100996735,Basin Night Porcelain Tile,/tile,https://www.flooranddecor.com/stone-look-tile/basin-night-porcelain-tile-100996735.html,https://i8.amplience.net/i/flooranddecor/100996735_basin-night-porcelain-tile_display?fmt=auto&qlt=85,100996735.jpg,,17,,,,other,42
100837038,Multi Gray Polished Porcelain Penny Mosaic,/tile,https://www.flooranddecor.com/porcelain-tile/multi-gray-polished-porcelain-penny-mosaic-100837038.html,https://i8.amplience.net/i/flooranddecor/100837038_multi-gray-polished-porcelain-penny-mosaic_display?fmt=auto&qlt=85,100837038.jpg,,8,,,,other,31
101328151,Pure Blush Glass Tile,/tile,https://www.flooranddecor.com/glass-tile/pure-blush-glass-tile-101328151.html,https://i8.amplience.net/i/flooranddecor/101328151_pure-blush-glass-tile_display?fmt=auto&qlt=85,101328151.jpg,,3,,,,other,24
101020618,Monteverde Onyx Matte Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/monteverde-onyx-porcelain-tile-101020618.html,https://i8.amplience.net/i/flooranddecor/101020618_monteverde-onyx-matte-porcelain-tile_display?fmt=auto&qlt=85,101020618.jpg,,17,,,,other,42
100579622,Super Sealed Saltillo Tile,/tile,https://www.flooranddecor.com/quarry-tile/super-sealed-saltillo-tile-100579622.html,https://i8.amplience.net/i/flooranddecor/100579622_super-sealed-saltillo-tile_display?fmt=auto&qlt=85,100579622.jpg,,35,,,,other,19
101070175,Champagne Limestone Waterproof Rigid Core Luxury Vinyl Tile - Foam Pad,/tile,https://www.flooranddecor.com/duralux-performance-flooring/champagne-limestone-waterproof-rigid-core-luxury-vinyl-tile---foam-pad-101070175.html,https://i8.amplience.net/i/flooranddecor/101070175_champagne-limestone-waterproof-rigid-core-luxury-vinyl-tile---foam-pad_display?fmt=auto&qlt=85,101070175.jpg,,32,,,,other,65
101328094,Pure Capri Glass Tile,/tile,https://www.flooranddecor.com/glass-tile/pure-capri-glass-tile-101328094.html,https://i8.amplience.net/i/flooranddecor/101328094_pure-capri-glass-tile_display?fmt=auto&qlt=85,101328094.jpg,,3,,,,other,24
100463199,Vintage Reflection Glass Mosaic,/tile,https://www.flooranddecor.com/glass-decoratives/vintage-reflection-glass-mosaic-100463199.html,https://i8.amplience.net/i/flooranddecor/100463199_vintage-reflection-glass-mosaic_display?fmt=auto&qlt=85,100463199.jpg,,6,,,,other,37
101317931,Luxe Smoke Matte Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/luxe-smoke-matte-porcelain-tile-101317931.html,https://i8.amplience.net/i/flooranddecor/101317931_luxe-smoke-matte-porcelain-tile_display?fmt=auto&qlt=85,101317931.jpg,,10,,,,other,60
